name,retail_price,shortDescription,longDescription,brandName,thumbnailImage,mediumImage,largeImage,color,tag
"Dole All Natural Seven Lettuces Salad, 6 Oz.",2.98,"Seven Lettuces 6 oz (170 g) Easy-open. Thoroughly washed. Preservative free. All natural. Salad Guide: Mild (3) taste, crunchy (4) texture. Pairs well with champagne vinaigrette, fresh navel orange segments, diced avocado, and freshly picked Italian parsley leaves. Perishable. Make it fresh! For more than 100 years, Dole has been committed to our environment, our employees and the communities in which we operate. Dole Seven Lettuces is a superfood for your heart. This flavorful blend contains vitamin C, folate and antioxidant phytonutrients which all help maintain a healthy heart. Produce of USA. Keep refrigerated. For the freshest taste, use within two days of opening and keep refrigerated in this breathable bag. 6 oz (170 g) Monterey, CA 93940 800-356-3111 2009",Dole 7 Lettuce Salad Blend 6 Oz,Dole,https://i5.walmartimages.com/asr/63f027f2-3d58-4648-bfcb-dd295ba463a9_1.5a76eed6dc0b4512e27fb965596b09f7.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/63f027f2-3d58-4648-bfcb-dd295ba463a9_1.5a76eed6dc0b4512e27fb965596b09f7.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/63f027f2-3d58-4648-bfcb-dd295ba463a9_1.5a76eed6dc0b4512e27fb965596b09f7.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Dole Tender Garden, 6 Oz.",2.98,"Tender Garden 6 oz (170 g) Thoroughly washed. Preservative free. All natural. Salad Guide: Taste: mild-bold (4 of 5). Texture: tender-crunchy (2 of 5). Pairs well with sherry vinaigrette, sliced red onion, sliced mushrooms, toasted hazelnuts, and crumbled gorgonzola cheese. Perishable. Make it fresh! For more than 100 years, Dole has been committed to our environment, our employees and the communities in which we operate. Superfood for your heart. Dole Tender Garden is a Superfood for your heart. This sophisticated blend contains vitamin C, folate and antioxidant phytonutrients which all help maintain a healthy heart. Produce of USA and Canada. Keep refrigerated. For the freshest taste, use within two days of opening and keep refrigerated in this breathable bag. 6 oz (170 g) Monterey, CA 93940 800-356-3111 2009","Contains vitamin C, folate and antioxidant phytonutrients which all help maintain a healthy heartThoroughly washedPreservative freeAll natural",Dole,https://i5.walmartimages.com/asr/93e889a9-9403-4153-8887-f1de5c0bafc9_1.de5c7eecd574b4fada8dfd65a873ef6d.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/93e889a9-9403-4153-8887-f1de5c0bafc9_1.de5c7eecd574b4fada8dfd65a873ef6d.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/93e889a9-9403-4153-8887-f1de5c0bafc9_1.de5c7eecd574b4fada8dfd65a873ef6d.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"OrganicGirl Baby Spring Mix, 5 Oz.",2.56,"Baby Spring Mix, Organic, Tub 5 OZ Good clean greens. Sweet tender whole baby leaves. Washed 3: we washed it 3 times so you don't have to. This container is made with 100% recycled plastic. USDA organic. We have it on good authority that Mother Nature is an organicgirl! Why is that? Is it because we're committed to providing people with higher quality and more consistently fresh organic produce? Or because we offer exciting new lettuce and vegetable varieties? Maybe it's because of our credo: good clean greens. We triple wash all of our salads. Our container is made from 100% recycled plastic! No new materials are used and it's recyclable. We think Mother Nature would approve. Check out our website at iloveorganicgirl.com. Certified organic by Quality Assurance International. Produce of USA. Please keep refrigerated & use within 2-3 days of opening. We use no preservatives. 5 oz (142 g) Salinas, CA 93901 2010 organicgirl",Organicgirl Baby Spring Mix.I love organic.Washed .We washed it 3 times so you don't have to.This container is made with 100% recycled plastic.USDA organic.We have it on good authority that mother nature is an Organicgirl!Why is that?Is it because we're committed to providing people with higher quality and more consistently fresh organic produce?Or because we offer exciting new lettuce and vegetable varieties?Maybe it's because of our credo:Good clean greens.We triple wash all of our salads.Our container is made from 100% recycled plastic!No new materials are used and it's recyclable.We think mother nature would approve.Check out our website at iloveorganicgirl.com.Certified organic by Quality Assurance International.©2010 Organicgirl.,Fresh Produce,https://i5.walmartimages.com/asr/4ea8e82d-6094-4f03-993d-975579b187e8.0f974dc270c17bfc350028dc1eb218a8.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/4ea8e82d-6094-4f03-993d-975579b187e8.0f974dc270c17bfc350028dc1eb218a8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/4ea8e82d-6094-4f03-993d-975579b187e8.0f974dc270c17bfc350028dc1eb218a8.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Fresh Shredded Collard Greens, 32 oz",4.98,Fresh Chopped Collard Greens are the perfect addition to your dishes. They are packed full of minerals and nutrients making them an excellent healthy option to add to your meals. These collard greens are a versatile ingredient that can be transformed in many ways. Sautee them with a garlic and onions for a delicious side dish or add it to a stew for a nutrient dense addition. Use them as a substitute for spinach in your favorite recipes. This bag of collard greens is chopped and pre-washed for your convenience and makes it easy to add them to your meals. Elevate mealtime with Fresh Chopped Collard Greens.,"Fresh Chopped Collard Greens, 32 oz Packed full of vitamins and minerals Versatile ingredient that can be used in a variety of dishes Sautee with garlic and onions or add it to a stew Great way to incorporate greens into your diet Nutrient dense vegetable Use it as a substitute for spinach in your favorite recipes Pre-washed",Fresh Produce,https://i5.walmartimages.com/asr/384f9322-b9ce-4f25-bb7d-acee5a01f760.7bec15b97bb69c5603125fbff8c153df.png?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/384f9322-b9ce-4f25-bb7d-acee5a01f760.7bec15b97bb69c5603125fbff8c153df.png?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/384f9322-b9ce-4f25-bb7d-acee5a01f760.7bec15b97bb69c5603125fbff8c153df.png?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Pearl Onions Whole Fresh, 10oz pkg",,"Add flavor to your next meal with Fresh White Pearl Onions. Boil them whole, or add to soups, stews or creamed dishes like creamed peas and onions. Pearl onions make a great addition to salads and may also be pickled or marinated. For easy peeling, trim both ends and blanch in boiling water for 30 seconds. Remove pearl onions from the pot and drop them into cold water. When cooled enough to touch, drain the water, and easily peel off outer skin. Stock your pantry with this ten-ounce bag of Fresh White Pearl Onions.",Pearl Onions 10oz,PRODUCE UNBRANDED,https://i5.walmartimages.com/asr/09f7bbb0-8dd1-403a-bac9-be828b3d32b3_1.a34e7e2e6eb7ca24e7e2ca77c132cfcc.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/09f7bbb0-8dd1-403a-bac9-be828b3d32b3_1.a34e7e2e6eb7ca24e7e2ca77c132cfcc.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/09f7bbb0-8dd1-403a-bac9-be828b3d32b3_1.a34e7e2e6eb7ca24e7e2ca77c132cfcc.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Pearl Onions Whole Fresh, 10oz pkg",,"Add flavor to your next meal with Fresh White Pearl Onions. Boil them whole, or add to soups, stews or creamed dishes like creamed peas and onions. Pearl onions make a great addition to salads and may also be pickled or marinated. For easy peeling, trim both ends and blanch in boiling water for 30 seconds. Remove pearl onions from the pot and drop them into cold water. When cooled enough to touch, drain the water, and easily peel off outer skin. Stock your pantry with this ten-ounce bag of Fresh White Pearl Onions.","10-ounce bag of fresh pearl onions About the size of a large marble and have a mild onion flavor Sheathed in dry, papery skins and can be used as an alternative to your generic onion Add them to soups and stews Use to make creamed dishes like creamed peas and onions",PRODUCE UNBRANDED,https://i5.walmartimages.com/asr/e50dfa27-7d28-4b92-983c-5a354fdb30e1_1.ff8dacce1a92134ac4f54af0230ee687.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/e50dfa27-7d28-4b92-983c-5a354fdb30e1_1.ff8dacce1a92134ac4f54af0230ee687.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/e50dfa27-7d28-4b92-983c-5a354fdb30e1_1.ff8dacce1a92134ac4f54af0230ee687.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Fresh Whole Russet Potatoes , 5 lb Bag",2.84,"Cooked on the grill, steamed, in broth, toasted, sautéed, fried, the potato serves as a main ingredient, as an accompaniment to other foods, or is an ingredient in the composition of various foods. It is also used as a thickener. It is found at different times during the meal, aperitif and coffee break. Potatoes are a good source of carbohydrates, proteins and vitamin C and are relatively easy to grow.","Potatoes are a good source of carbohydrates, proteins and vitamin C. It tastes delicious in a mash. It has a great diversity of cooking methods and recipes around the world.",Fresh Produce,https://i5.walmartimages.com/asr/39e383c7-abe5-42fa-9078-5d6d0bb5c0d4.8fc19a526bf85bd640d369c4c85a2bf2.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/39e383c7-abe5-42fa-9078-5d6d0bb5c0d4.8fc19a526bf85bd640d369c4c85a2bf2.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/39e383c7-abe5-42fa-9078-5d6d0bb5c0d4.8fc19a526bf85bd640d369c4c85a2bf2.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Jumbo Russet Potatoes Whole Fresh, 8 lb Bag",6.0,"Create something wholesome and delicious with Simply Perfect Fresh Jumbo Russet Potatoes. These jumbo potatoes make the perfect baked potato. Serve them with butter, salt, and pepper alongside your favorite cut of meat. You could also bake them and load them up with all your favorite toppings like brisket, bacon, sour cream, chives, cheddar cheese, and smoked ham. For your next party, use them to create an amazing baked potato bar that everyone will be talking about. You could also cut them, boil them, and mash them for the perfect side to any meal. Add something amazing to your meals with Simply Perfect Jumbo Russet Potatoes.",Wholesome & delicious Ideal ingredient for a variety of dishes Make a classic baked potato Load them up with your favorite toppings Unique party idea: Baked Potato Bar,Fresh Produce,https://i5.walmartimages.com/asr/d1bb5089-8122-4c47-91e0-3038117d1f14.d1a960f1f4a6fdfd45fab93bceebb0a9.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/d1bb5089-8122-4c47-91e0-3038117d1f14.d1a960f1f4a6fdfd45fab93bceebb0a9.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/d1bb5089-8122-4c47-91e0-3038117d1f14.d1a960f1f4a6fdfd45fab93bceebb0a9.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Fresh Idaho Russet Potatoes, 5 lb Bag",2.87,"These Fresh Idaho Potatoes are a must-have for any pantry. With so many ways to prepare potatoes, you'll want to add them to every meal. For breakfast, you could make crispy hash browns smothered in cheese and diced ham or add them to a savory omelet. For lunch or dinner, you could use these fresh potatoes to make au gratin potatoes, garlic mashed potatoes, or a baked potato loaded with cheese, sour cream, green onions, and bacon bits. If you're hosting a neighborhood get-together, you can use them to make creamy potato salad or homestyle French fries. Serve up something delicious when you cook with Fresh Idaho Potatoes.",Must-have addition to every pantry Make crispy hash browns or add to an omelet Serve garlic mashed potatoes or a loaded baked potato Great for potato salad or homestyle French fries Explore all the delicious ways to serve these satisfying potatoes,Fresh Produce,https://i5.walmartimages.com/asr/14f0a046-6851-4f32-a7a4-6175d6c1d5c8.0997bc7036e29ed961e9ec0b0f92dcf8.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/14f0a046-6851-4f32-a7a4-6175d6c1d5c8.0997bc7036e29ed961e9ec0b0f92dcf8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/14f0a046-6851-4f32-a7a4-6175d6c1d5c8.0997bc7036e29ed961e9ec0b0f92dcf8.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Russet Potatoes Whole Fresh, 20 lb Bag",9.0,"Russet Baking Potatoes are the perfect addition to your pantry. With so many ways to prepare potatoes, you'll want to add them to every meal. For breakfast, you could make crispy hash browns smothered in cheese and diced ham or add them to a savory omelet. For lunch or dinner, you could use these fresh potatoes to make au gratin potatoes, garlic mashed potatoes, or a baked potato loaded with cheese, sour cream, green onions, and bacon bits. If you're hosting a neighborhood get-together, you can use them to make creamy potato salad or homestyle French fries. Serve up something fresh and delicious when you cook with Russet Baking Potatoes.","Wada Farms: Idaho All Purpose Potatoes, 20 lb Russet Baking Potatoes are the perfect addition to your pantry. With so many ways to prepare potatoes, you'll want to add them to every meal. For breakfast, you could make crispy hash browns smothered in cheese and diced ham or add them to a savory omelet.; For lunch or dinner, you could use these fresh potatoes to make au gratin potatoes, garlic mashed potatoes, or a baked potato loaded with cheese, sour cream, green onions, and bacon bits. &If you're hosting a neighborhood get-together, you can use them to make creamy potato salad or homestyle French fries; Serve up something fresh and delicious when you cook with Russet Baking Potatoes.",Fresh Produce,https://i5.walmartimages.com/asr/765972aa-793b-4273-b0c0-08d504207117.5a80ab0dceab6c55deb2833ee627340e.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/765972aa-793b-4273-b0c0-08d504207117.5a80ab0dceab6c55deb2833ee627340e.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/765972aa-793b-4273-b0c0-08d504207117.5a80ab0dceab6c55deb2833ee627340e.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Fresh Yellow Onions, 3 lb Bag",2.74,"Give all of your dishes a wonderful flavor with this three-pound bag of Fresh Yellow Onions. They can be added to all of your favorite foods including hamburgers, stir-fries, soups, and pizza and used to make onion rings and blooming onions as well. These onion vegetables can be sauteed or served raw and stored in a cool, dry area until you are ready to use them. They have a fresh taste that will put something extra in your dish. These onions are easy to peel and quick to prepare so you can serve them on your dinner plate in no time. Add these Fresh Yellow Onions to your next dish and impress others with your culinary skills.","Fresh Yellow Onions, 3 lb Bag Ideal ingredient in a variety of recipes Can be sauteed and put in your favorite foods for added flavor Use to top sandwiches, hamburgers, and hot dogs Fresh onions can be stored in a cabinet or pantry and are easy to prepare",Fresh Produce,https://i5.walmartimages.com/asr/77a8ef80-e2cc-4062-a87a-4673cfaf10f2.768d6312632f7da7e1b5e8ce3d8c5391.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/77a8ef80-e2cc-4062-a87a-4673cfaf10f2.768d6312632f7da7e1b5e8ce3d8c5391.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/77a8ef80-e2cc-4062-a87a-4673cfaf10f2.768d6312632f7da7e1b5e8ce3d8c5391.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,Yellow,produce
"Fresh Parsnips, 1 lb Bag",3.77,Serve up something amazing when you cook with Fresh Parsnip. This versatile root vegetable is a great addition to a healthy diet and can be prepared in a variety of ways. They are known for their sweet yet nutty flavor and starchy texture that makes them a great addition to your favorite meals. You can use them in your favorite soups and stews instead of carrots and potatoes. Try roasting or sautéing them with your favorite herbs and spices or whip up a decadent parsnip mash. The culinary possibilities are endless with Fresh Parsnips.,"Wholesome, versatile, and delicious Add to a recipe or enjoy on their own Serve sauteed or roasted as a side dish Make a delicious hash for breakfast Explore all the delicious ways to add fresh parsnips to your favorite recipes",Fresh Produce,https://i5.walmartimages.com/asr/dc9bdd73-f01b-4130-8809-e86750f9a14e.7a5768a00d070e7f329ec2ef2c290363.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/dc9bdd73-f01b-4130-8809-e86750f9a14e.7a5768a00d070e7f329ec2ef2c290363.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/dc9bdd73-f01b-4130-8809-e86750f9a14e.7a5768a00d070e7f329ec2ef2c290363.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Spinach Spring Mix, 5.25 oz",6.88,"Introducing our irresistible Spinach Spring Mix, a delightful blend of tender baby spinach and vibrant spring greens. Packed with vitamins and nutrients, this refreshing mix adds a healthy twist to any salad or sandwich. With its crisp texture and delicate flavor, it's the perfect base for your creative culinary endeavors. Indulge in the goodness of fresh greens and elevate your meals with our Spinach Spring Mix.","Spinach Spring Mix Baby spinach, tender baby lettuces, baby greens, radicchio. Excellent source of vitamin A; folate. Good source of vitamin C. Thoroughly washed. No preservatives. Savor this delightful blend of Baby Spinach combined with the delicate Baby Lettuces and greens. Tender Spinach Spring Mix is especially tasty with balsamic or champagne vinaigrettes. Try serving it as an accompaniment to grilled salmon, pork tenderloin, or a juicy steak. Or serve it as a main-meal salad, dressed with grape tomatoes and cooked shrimp. Our Ready Pac Spinach Spring Mix is also loaded with vitamin A and folate.; Ready Pac Salad Blends follow techniques that provide the highest level of freshness quality.; We trim our fresh produce with care, wash it thoroughly, and then place it in special pillow-packaging that protects against bruising and keeps the salad crispier. Ready Pac Foods is committed to providing the highest quality fresh salads.",Fresh Produce,https://i5.walmartimages.com/asr/f0994336-f6e7-477c-9c44-915de37ed41c.36356116e8529206541b30a2a97a2f17.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/f0994336-f6e7-477c-9c44-915de37ed41c.36356116e8529206541b30a2a97a2f17.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/f0994336-f6e7-477c-9c44-915de37ed41c.36356116e8529206541b30a2a97a2f17.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Green Giant Freshtables: Broccoli, Cauliflower, Carrots Medley Cheese Sauce Vegetable, 12 oz",,"Broccoli, Cauliflower, Carrots Medley Cheese Sauce",Vegetable Medley W/cheese Sauce 12oz,Green Giant,https://i5.walmartimages.com/asr/f2efbfca-3d26-4f8e-ad64-ee8d3a06564c_1.91b7ca2993b7122cd016cf60933bf4f8.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/f2efbfca-3d26-4f8e-ad64-ee8d3a06564c_1.91b7ca2993b7122cd016cf60933bf4f8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/f2efbfca-3d26-4f8e-ad64-ee8d3a06564c_1.91b7ca2993b7122cd016cf60933bf4f8.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,frozen
"Freshness Guaranteed Sliced White Mushrooms, 8 oz",1.79,"Add flavor and texture to your meals with the Fresh Sliced White Mushrooms. This versatile ingredient is perfect for a variety of dishes, whether its for breakfast, lunch, or dinner. Mince some up and put them in your omelet with peppers and ham for a filling breakfast. Add them to a healthy salad for lunch or saute them with onion, garlic, butter, and white wine for a delicious, mouthwatering meal. White mushrooms are an excellent source of riboflavin and are naturally fat-free, cholesterol-free, and are low in calories and sodium. Enjoy the delicious taste of Fresh Sliced White Mushrooms any way you prepare them. Has no preservatives and in a tray.","Fresh Sliced White Mushrooms, 8 oz tray: Adds flavor and textures to your meals Great for breakfast, lunch, or dinner Mince them for an omelet, slice them for a salad, or stuff them with cheese Naturally fat-free and cholesterol-free Low in sodium and calories",South Mill Champs,https://i5.walmartimages.com/asr/31b5ac90-da9e-429f-9b4e-9a1a11b2a67d.d8d40fce002a578ce8d1bfbf604420b6.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/31b5ac90-da9e-429f-9b4e-9a1a11b2a67d.d8d40fce002a578ce8d1bfbf604420b6.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/31b5ac90-da9e-429f-9b4e-9a1a11b2a67d.d8d40fce002a578ce8d1bfbf604420b6.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,Multicolor,produce
"Fontera Produce New Mexico Pepper, 16 oz",1.1,,Re-sealable bag,Unbranded,https://i5.walmartimages.com/asr/6705da1b-4d67-4ad8-890d-5fa67d477b64.60adc9f5f8d6adb3d9670850f698f600.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/6705da1b-4d67-4ad8-890d-5fa67d477b64.60adc9f5f8d6adb3d9670850f698f600.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/6705da1b-4d67-4ad8-890d-5fa67d477b64.60adc9f5f8d6adb3d9670850f698f600.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Microwaveable Russet Potato Whole Fresh, Each",1.07,"Make dinner simple and delicious when you serve these Microwave-Ready Russet Potatoes. Ready to eat in ten to twelve minutes, these whole potatoes are pre-washed and ready to heat up. Simply cook them in the microwave for a satisfying side dish or main course. You can also serve them alongside a tender and juicy steak, a succulent grilled chicken breast or a country-fried pork chop. Convenient and delicious, these sweet potatoes will please the entire family. Serve up something fresh fast and delicious when you bring home Microwave-Ready Russet Potatoes.","Ideal addition to every pantry Cooks in 7-8 minutes Pre-washed & ready to cook Add butter, salt & pepper for a quick side Load it with your favorite toppings for a full meal 8 oz minimum weight",Fresh Produce,https://i5.walmartimages.com/asr/53cb3546-c4e6-44d2-8773-2793e578edd6.30099dbbd2361c705addc80fb70773c2.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/53cb3546-c4e6-44d2-8773-2793e578edd6.30099dbbd2361c705addc80fb70773c2.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/53cb3546-c4e6-44d2-8773-2793e578edd6.30099dbbd2361c705addc80fb70773c2.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Red Potatoes Whole Fresh, 3lb Bag",2.74,"These Petite Red Potatoes are a must-have for any pantry. With so many ways to prepare potatoes, you'll want to add them to every meal. For breakfast, you could make crispy sliced potatoes smothered in cheese and diced ham or add them to a savory omelet. For lunch or dinner, you could use these fresh potatoes to make au gratin potatoes, garlic mashed potatoes, or roast them with your favorite spices to serve with a juicy steak and rolls. If you're hosting a neighborhood get-together, you can use them to add flavor and color to a creamy potato salad. Serve up something delicious when you cook with Petite Red Potatoes.",Must-have addition to every pantry Roast them with your favorite spices and serve with a juicy steak Add them to a savory omelet for a mouthwatering breakfast Use them to add color and flavor to your potato salad Explore all the delicious ways to serve these satisfying potatoes,Simple Perfect,https://i5.walmartimages.com/asr/0e144115-4379-48d1-b90a-bef1038eb3c3.07da9b1daa5494dffb0db7108bb402f8.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/0e144115-4379-48d1-b90a-bef1038eb3c3.07da9b1daa5494dffb0db7108bb402f8.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/0e144115-4379-48d1-b90a-bef1038eb3c3.07da9b1daa5494dffb0db7108bb402f8.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,Gray,produce
Fresh Red Potatoes 5 Lb Bag,4.24,"Red Potatoes are a staple for your kitchen this holiday season. Use fresh red potatoes to create a variety of cooked and baked dishes- from creamy, flavorful mashed potatoes, to fluffy, filling baked potatoes topped with cheese, bacon, and sour cream, or cheesy, succulent au gratin potatoes. Make fried potatoes for a hearty holiday breakfast, shred them for hash browns, or use these red potatoes to make a pleasing, tummy-warming potato soup to chase away the chill on a cold winters day. Rich in potassium, vitamin C and iron, and cholesterol, fat, and sodium free, red potatoes are a versatile, flavorful ingredient staple for any kitchen. Make time-honored family favorite recipes or create new favorites.","5-pound bag of red potatoes Perfect for mashing, frying, baking, soups, and French fries Rich in potassium, vitamin C and iron",Unbranded,https://i5.walmartimages.com/asr/6d724bf4-5d34-4ae7-aa55-1f1f40937b0f.04ec77f46cfd435909d22ba449bfbc97.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/6d724bf4-5d34-4ae7-aa55-1f1f40937b0f.04ec77f46cfd435909d22ba449bfbc97.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/6d724bf4-5d34-4ae7-aa55-1f1f40937b0f.04ec77f46cfd435909d22ba449bfbc97.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,Blue,produce
"Russet Potatoes, 10 lb Bag, Whole",4.54,"Fresh Russet Potatoes are ideal for any time of the day and may be prepared multiple ways. They are handy for baking, microwaving, mashing or sliced into wedges. With 110 calories per serving, these high-fiber potatoes also provide a good source of vitamin C, B vitamins and potassium. You can add this fresh produce to your breakfast in the form of delicious hash browns, add them to the lunch menu as tasty French fries or bring more substance to your dinner by serving them in baked or mashed form. They are available in a convenient 10-pound bag with easy recipes on the package. Stock your pantry with Fresh Russet Potatoes.","Power-Packed W/Vitamin C, B Vitamins, Potassium & Fresh Fiber Healthy Source of Whole Calories Ideal For Baking, µwaving, Mashing & Wedges. Quick & Easy Recipe Ideas On Back!",Fresh Produce,https://i5.walmartimages.com/asr/ed413aec-1900-4f15-8b42-4cb645f746a2.77b3f885275ebf7e8eb99def99bba56a.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/ed413aec-1900-4f15-8b42-4cb645f746a2.77b3f885275ebf7e8eb99def99bba56a.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/ed413aec-1900-4f15-8b42-4cb645f746a2.77b3f885275ebf7e8eb99def99bba56a.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
"Cut N Clean Collard Greens, 1 lb",2.94,"Add some color to a Southern-inspired dish with Cut N Clean Collard Greens. They come cut, washed and ready to cook, so you will be enjoying them in no time. The dark, leafy greens are picked young and tender then immediately bagged to retain freshness. They have delicious flavor and are a good source of vitamin A, vitamin C, beta carotene, calcium and fiber. Serve the Glory Foods collard greens as a side dish or add them to your favorite recipe. They are free of trans fat and cholesterol, as well.","Cut N Clean Collard Greens, 1 lb: Collard greens Cut, washed and ready to cook Delicious taste, no waste Dark leafy greens Good source of vitamin A, vitamin C, beta carotene, calcium and fiber Keep refrigerated 1-lb Glory Foods collard greens Free of trans fat No cholesterol Picked young and tender Immediately bagged to retain freshness Optimal flavor and nutrition Use in your favorite recipe",Fresh Produce,https://i5.walmartimages.com/asr/10dc17a9-d466-49f7-a1de-2ea5584b1de5.afeefeab68a610282bb680233709e1a7.jpeg?odnHeight=100&odnWidth=100&odnBg=ffffff,https://i5.walmartimages.com/asr/10dc17a9-d466-49f7-a1de-2ea5584b1de5.afeefeab68a610282bb680233709e1a7.jpeg?odnHeight=180&odnWidth=180&odnBg=ffffff,https://i5.walmartimages.com/asr/10dc17a9-d466-49f7-a1de-2ea5584b1de5.afeefeab68a610282bb680233709e1a7.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,,produce
